source,section,subsection,type,content,tags,weight
cisco cheat sheet,Cisco Cheat Sheet,5. Configure Interfaces,command,"# Example: FastEthernet 0/0
R1(config)# interface FastEthernet0/0
R1(config-if)# ip address 192.168.1.1 255.255.255.0
R1(config-if)# no shutdown
R1(config-if)# exit
# Example: FastEthernet 0/1
R1(config)# interface FastEthernet0/1
R1(config-if)# ip address 192.168.2.1 255.255.255.0
R1(config-if)# no shutdown
R1(config-if)# exit","cisco,router,switch,networking,commands,ios,cheat,sheet,configure,config,setup,set,customise,customize,edit,change,configur,interfaces,interfac,interface,fastethernet,gigabit,fa,gi,eth,port,nic,int,example,exampl,ethernet,r1,fastethernet0,ethernet0,config-if,ip,address,subnet,cidr,host,network,dhcp,ipv4,shutdown,exit,config interface,r1 config,interface fastethernet0,no shutdown,ip address,cisco cheat,cisco cheat sheet,cheat sheet",0.7646
cisco cheat sheet,Cisco Cheat Sheet,6. Set a Default Route (Optional),command,"R1(config)# ip route 0.0.0.0 0.0.0.0 192.168.1.2
Tells the router where to send packets if the destination is unknown.","cisco,router,switch,networking,commands,ios,cheat,sheet,default,route,rout,optional,option,r1,config,ip,address,subnet,cidr,host,network,dhcp,ipv4,tells,tell,send,packets,packet,destination,destin,unknown,ip route,default route,r1 config,set default,the router,cisco cheat,cisco cheat sheet,cheat sheet",0.7418
cisco cheat sheet,Cisco Cheat Sheet,7. Verify Configuration,command,"# Check interfaces
R1# show ip interface brief
# Check routing table
R1# show ip route
# Test connectivity
R1# ping 192.168.1.2","cisco,router,switch,networking,commands,ios,cheat,sheet,verify,verifi,configuration,configur,check,interfaces,interfac,interface,fastethernet,gigabit,fa,gi,eth,port,nic,int,r1,show,display,list,view,get,print,ip,address,subnet,cidr,host,network,dhcp,ipv4,brief,routing,route,ospf,rip,static,dynamic,table,rout,tabl,test,connectivity,connect,ping,ip route,show ip,test connectivity,cisco cheat,cisco cheat sheet,routing table,interface brief,ip interface brief,show ip interface",0.718
cisco cheat sheet,Cisco Cheat Sheet,8. Save Configuration,command,"R1# copy running-config startup-config
# or
R1# write memory
Ensures your settings remain after a reboot.","cisco,router,switch,networking,commands,ios,cheat,sheet,save,configuration,configur,r1,copy,copi,running-config,startup-config,write,memory,memori,ensures,ensur,settings,set,setting,remain,reboot,save configuration,write memory,copy running-config,copy running-config startup-config,running-config startup-config,after reboot,cisco cheat,cisco cheat sheet",0.7572
cisco commands,Cisco Commands,,command,"enable                    # Enter privileged EXEC mode (# prompt)
configure terminal        # Enter global configuration mode
hostname R1               # Set router/switch hostname
show running-config       # Display current running configuration
show startup-config       # Display saved startup configuration
copy running-config startup-config   # Save running config
write memory              # Shortcut to save configuration
exit                      # Exit current mode
interface FastEthernet0/0 # Enter interface config mode
interface FastEthernet0/1 # Enter interface config mode
interface GigabitEthernet0/0 # Enter gigabit interface config mode
interface GigabitEthernet0/1 # Enter gigabit interface config mode
ip address 192.168.1.1 255.255.255.0  # Assign IP address to interface
no shutdown               # Enable interface
shutdown                  # Disable interface
show ip interface brief   # Show all interfaces with IP and status
show ip route             # Show routing table
ip route 0.0.0.0 0.0.0.0 192.168.1.2 # Default route
ping 192.168.1.2          # Test connectivity to an IP
traceroute 192.168.1.2    # Trace route to an IP
enable secret cisco123    # Set privileged mode password
line console 0            # Enter console line config
password cisco123         # Set console password
login                     # Require login on console
line vty 0 4              # Enter VTY (Telnet/SSH) lines
show cdp neighbors         # Display directly connected devices
show arp                  # Display ARP table
show version              # Display device hardware and IOS version
reload                    # Reboot the device
copy startup-config running-config # Load saved config into running config
vlan 10                   # Create VLAN 10
vlan 20                   # Create VLAN 20
name Sales                # Name VLAN
name HR                   # Name VLAN
switchport mode access    # Set port to access mode
switchport access vlan 10 # Assign port to VLAN 10
switchport access vlan 20 # Assign port to VLAN 20
switchport mode trunk     # Set port to trunk mode
show vlan brief           # Show VLANs and assigned ports
show spanning-tree        # Show STP status
spanning-tree vlan 10 priority 4096 # Set VLAN priority
show mac address-table     # Show MAC address table
clear mac address-table dynamic # Clear dynamic MAC table
show interfaces            # Show detailed interface info
show interfaces status     # Show interface status and VLAN assignment
description Link to SW2    # Add interface description
duplex full               # Set full duplex
speed 100                 # Set speed 100 Mbps
show protocols            # Show interface protocols
show ip arp               # Show ARP table
show controllers          # Show hardware controller status
ping 192.168.1.1 source FastEthernet0/0 # Ping using specific interface
debug ip routing          # Debug routing activity
undebug all               # Stop all debugging
show logging              # Show device logs
banner motd # Welcome to R1 # Set login banner
clock set 12:00:00 24 Feb 2026 # Set device clock
ntp server 192.168.1.1    # Sync time with NTP server
username admin secret cisco123 # Create local user
enable password cisco     # Set enable password (less secure)
show ip dhcp binding       # Show DHCP IP assignments
ip dhcp pool STUDENTS      # Create DHCP pool
network 192.168.1.0 255.255.255.0 # Set DHCP network
default-router 192.168.1.1 # Set default gateway for DHCP
dns-server 8.8.8.8          # Set DNS server for DHCP
no ip domain-lookup          # Disable DNS lookups to avoid delays
crypto key generate rsa      # Generate RSA keys for SSH
ip domain-name school.local  # Set domain for SSH
line vty 0 4
transport input ssh          # Allow SSH only
login local                  # Use local user database for login
show ip ssh                  # Show SSH status
show access-lists            # Display ACLs
access-list 10 permit 192.168.1.0 0.0.0.255 # Permit subnet
access-list 10 deny any       # Deny all others
ip access-group 10 in         # Apply ACL inbound
show ip interface brief        # Verify ACL applied
debug arp                     # Debug ARP activity
show cdp neighbors detail     # Show detailed neighbor info
show ip ospf neighbor          # Show OSPF neighbors
router ospf 1                  # Enable OSPF process 1
network 192.168.1.0 0.0.0.255 area 0 # Add network to OSPF
router rip                     # Enable RIP
version 2                      # Set RIP version 2
network 192.168.1.0            # Add network to RIP
show ip protocols               # Show routing protocols running
show ip route ospf              # Show OSPF routes
show ip route rip               # Show RIP routes
debug ip packet                 # Debug IP packet activity
show ip nat translations        # Show NAT table
ip nat inside source list 1 interface FastEthernet0/0 overload # Configure NAT
interface FastEthernet0/0
ip nat outside                  # Set outside interface for NAT
interface FastEthernet0/1
ip nat inside                   # Set inside interface for NAT
show vlan brief                 # Verify VLANs and assignments
show spanning-tree              # Verify STP","cisco,router,switch,networking,commands,ios,command,enable,activate,allow,permit,start,enabl,enter,privileged,privileg,exec,prompt,configure,config,setup,set,customise,customize,edit,change,configur,terminal,termin,global,configuration,hostname,hostnam,r1,show,display,list,view,check,get,verify,print,running-config,current,running,run,startup-config,saved,save,startup,copy,copi,write,memory,memori,shortcut,exit,interface,fastethernet,gigabit,fa,gi,eth,port,nic,int,interfac,fastethernet0,ethernet0,gigabitethernet0,ip,address,subnet,cidr,host,network,dhcp,ipv4,assign,shutdown,disable,lock,deactivate,prevent,block,disabl,brief,interfaces,status,statu,route,rout,routing,ospf,rip,static,dynamic,table,tabl,default,ping,test,connectivity,connect,traceroute,tracerout,trace,secret,cisco123,password,passwd,chage,credentials,pass,pwd,console,consol,login,require,requir,vty,vti,telnet,ssh,secure,remote,crypto,rsa,transport,lines,line,cdp,neighbors,neighbor,directly,directli,connected,devices,devic,device,arp,version,hardware,hardwar,io,reload,reboot,load,vlan,trunk,access,switchport,lan,virtual,create,add,new,make,useradd,adduser,install,build,creat,name,sales,sale,hr,vlans,assigned,ports,spanning-tree,spanning-tre,stp,priority,prioriti,mac,address-table,address-t,clear,dynam,interface fastethernet0,interface config,port to,config mode,ip nat,status show,debug ip,protocols show",0.4763
cisco steps,Cisco Steps,,command,"Create VLAN:
enable                        # Enter privileged EXEC mode (# prompt)
configure terminal            # Enter global configuration mode
hostname SW1                  # Set switch hostname to SW1
# --- Set passwords ---
enable secret cisco123        # Set privileged EXEC mode password
line console 0                # Enter console line config
password cisco123             # Set console password
login                         # Require login on console
exit
line vty 0 4                  # Enter VTY lines for Telnet/SSH
password cisco123             # Set VTY password
login                         # Require login on VTY
exit
# --- Set login banner ---
banner motd ""Welcome to SW1! Authorized users only!"" # Set message of the day banner
# --- Create VLANs ---
vlan 10                       # Create VLAN 10
name Sales                     # Name VLAN 10 as ""Sales""
vlan 20                       # Create VLAN 20
name HR                        # Name VLAN 20 as ""HR""
exit                           # Exit VLAN config mode
# --- Assign access ports ---
interface FastEthernet0/1      # Enter interface Fa0/1
switchport mode access         # Set port as access port
switchport access vlan 10      # Assign to VLAN 10 (Sales)
description Sales PC           # Add description
exit
interface FastEthernet0/2      # Enter interface Fa0/2
switchport mode access         # Set port as access port
switchport access vlan 20      # Assign to VLAN 20 (HR)
description HR PC              # Add description
exit
# --- Configure trunk port (for inter-switch link) ---
interface FastEthernet0/24     # Port connecting to another switch
switchport mode trunk           # Set as trunk port
switchport trunk allowed vlan 10,20 # Allow VLAN 10 and 20 on trunk
description Trunk to SW2       # Add description
exit
# --- Verification ---
show vlan brief                # Verify VLANs and port assignments
show interfaces status         # Verify interface statuses
show running-config            # Verify entire configuration
# --- Save configuration ---
copy running-config startup-config # Save configuration
write memory                   # Shortcut to save configuration","cisco,router,switch,networking,commands,ios,steps,step,create,add,new,make,useradd,adduser,setup,configure,install,build,creat,vlan,trunk,access,switchport,lan,virtual,network,enable,activate,allow,permit,start,enabl,enter,privileged,privileg,exec,prompt,configur,terminal,termin,global,configuration,hostname,hostnam,sw1,passwords,password,passwd,chage,secret,credentials,pass,pwd,cisco123,console,consol,config,login,require,requir,exit,vty,vti,lines,line,telnet,ssh,secure,remote,crypto,rsa,transport,banner,motd,welcome,welcom,authorized,author,users,user,account,userdel,usermod,person,new-aduser,message,messag,day,vlans,name,sales,sale,hr,assign,ports,port,interface,fastethernet,gigabit,fa,gi,eth,nic,int,interfac,fastethernet0,ethernet0,fa0,description,descript,pc,desktop,computer,client,workstation,machine,inter-switch,link,connecting,connect,another,anoth,allowed,sw2,verification,verif,show,display,list,view,check,get,verify,print,brief,verifi,assignments,assignment,interfaces,status,statu,statuses,running-config,entire,entir,save,copy,copi,startup-config,write,memory,memori,shortcut,vlan trunk,vlan access,ssh vty,create vlan,cisco123 set,save configuration,interface fastethernet0,access port,access set,access set port,assign to",0.5375
linux cheat sheet,Linux Cheat Sheet,Navigation,command,"# Current directory
pwd
# List files/folders
ls
ls -l       # detailed info
ls -a       # include hidden files
# Change directory
cd /path/to/folder
cd ~        # home directory
cd ..       # parent directory","linux,unix,bash,shell,dnf,rpm,sudo,rocky,redhat,rhel,cheat,sheet,navigation,navig,current,directory,directori,pwd,list,files,file,folders,folder,ls,detailed,detail,info,include,includ,hidden,change,chang,cd,path,home,parent,directory cd,list files folders,path to folder,to folder,change directory cd,current directory,include hidden,change directory",0.7635
linux cheat sheet,Linux Cheat Sheet,File & Folder Management,command,"# Create folder
mkdir NewFolder
# Create empty file
touch file.txt
# Copy file/folder
cp file.txt /path/to/destination/
cp -r Folder /path/to/destination/   # recursive
# Move file/folder
mv file.txt /path/to/destination/
# Delete file/folder
rm file.txt
rm -r OldFolder","linux,unix,bash,shell,dnf,rpm,sudo,rocky,redhat,rhel,cheat,sheet,file,folder,management,manag,create,add,new,make,useradd,adduser,setup,configure,install,build,creat,mkdir,newfolder,newfold,empty,empti,touch,txt,copy,copi,cp,path,destination,destin,recursive,recurs,move,mv,delete,remove,del,userdel,erase,drop,delet,rm,oldfolder,oldfold,file folder,path to destination,to destination,file txt,path to,rm file,rm file txt,create empty",0.7735
linux cheat sheet,Linux Cheat Sheet,Viewing & Editing Files,command,"# View content
cat file.txt
less file.txt      # scrollable
head file.txt      # first 10 lines
tail file.txt      # last 10 lines
# Search text
grep ""keyword"" file.txt
# Edit file (nano is simplest)
nano file.txt","linux,unix,bash,shell,dnf,rpm,sudo,rocky,redhat,rhel,cheat,sheet,viewing,view,editing,edit,files,file,content,cat,txt,less,scrollable,scrollabl,head,lines,line,tail,search,text,grep,keyword,nano,simplest,file txt,less file,less file txt,lines tail,lines tail file,last lines,linux cheat,linux cheat sheet",0.8022
linux cheat sheet,Linux Cheat Sheet,Permissions,command,"# View permissions
ls -l
# Change permissions
chmod 755 file.txt   # rwxr-xr-x
chmod +x script.sh   # make executable
# Change owner/group
chown user:group file.txt","linux,unix,bash,shell,dnf,rpm,sudo,rocky,redhat,rhel,chmod,chown,permission,rights,privilege,cheat,sheet,permissions,permiss,view,ls,change,chang,file,txt,rwxr-xr-x,script,sh,executable,execut,owner,group,groups,groupadd,groupmod,groupdel,member,membership,security group,user,users,account,useradd,adduser,userdel,usermod,person,login,new-aduser,file txt,change owner,chmod file,chmod script,chmod script sh,permissions ls,view permissions,group file",0.7307
linux cheat sheet,Linux Cheat Sheet,Processes & System Info,command,"# List processes
ps aux
top   # real-time process monitor
htop  # nicer top (if installed)
# Kill process
kill PID
killall process_name
# Disk usage
df -h      # disk space
du -sh folder/  # folder size
# System info
uname -a","linux,unix,bash,shell,dnf,rpm,sudo,rocky,redhat,rhel,cheat,sheet,processes,process,system,info,list,ps,aux,top,real-time,real-tim,monitor,htop,nicer,installed,instal,kill,pid,killall,killal,name,disk,usage,usag,df,space,du,sh,folder,size,uname,unam,system info,du sh,process name,kill process,ps aux,processes ps,disk space,disk usage",0.7371
linux cheat sheet,Linux Cheat Sheet,Users & Groups,command,"# List users
cat /etc/passwd
# Current user
whoami
# Add user (requires sudo)
sudo adduser newuser
sudo passwd newuser
# Groups
groups username","linux,unix,bash,shell,dnf,rpm,sudo,rocky,redhat,rhel,cheat,sheet,users,user,account,useradd,adduser,userdel,usermod,person,login,new-aduser,groups,group,groupadd,groupmod,groupdel,member,membership,security group,list,cat,passwd,current,whoami,add,create,new,install,join,make,requires,requir,addus,newuser,newus,username,usernam,name,groups groups,list users,groups list,users groups,cat etc passwd,sudo sudo,sudo passwd,add user",0.7455
linux cheat sheet,Linux Cheat Sheet,Networking,command,"# IP address
ip a
ifconfig    # older systems
# Ping
ping google.com
# Check open ports
netstat -tuln","linux,unix,bash,shell,dnf,rpm,sudo,rocky,redhat,rhel,cheat,sheet,networking,network,working,ip,address,subnet,cidr,host,dhcp,ipv4,ifconfig,older,systems,system,ping,google,googl,com,check,open,ports,port,netstat,stat,tuln,ports netstat,ping ping,address ip,ip address ip,linux cheat,linux cheat sheet,cheat sheet,ip address",0.7968
linux cheat sheet,Linux Cheat Sheet,Searching & Filtering,command,"# Find files
find /path -name ""file.txt""
# Search in files
grep ""text"" *.txt
grep -r ""text"" /folder
# Combine commands
ps aux | grep process_name
ls -l | sort -k5 -n   # sort by file size","linux,unix,bash,shell,dnf,rpm,sudo,rocky,redhat,rhel,cheat,sheet,searching,search,filtering,filter,find,files,file,path,name,txt,grep,text,folder,combine,combin,commands,command,ps,aux,process,ls,sort,k5,size,aux grep,find files,process name,ps aux grep,search in,files find,ps aux,linux cheat",0.7817
linux cheat sheet,Linux Cheat Sheet,Package Management (Debian/Ubuntu),command,"sudo apt update
sudo apt upgrade
sudo apt install package_name
sudo apt remove package_name","linux,unix,bash,shell,dnf,rpm,sudo,rocky,redhat,rhel,package,apt,install,software,program,module,remove,delete,del,userdel,uninstall,erase,drop,upgrade,group,groups,groupadd,groupmod,groupdel,member,membership,security group,cheat,sheet,packag,management,manag,debian,ubuntu,update,updat,upgrad,instal,name,remov,install package,remove package,package management,linux cheat,linux cheat sheet,cheat sheet",0.7381
networking cheat sheet,1. WINDOWS CORE - IP CONFIGURATION,,command,"# Set static IP
New-NetIPAddress -InterfaceAlias ""Ethernet0"" -IPAddress 192.168.14.4 -PrefixLength 24 -DefaultGateway 192.168.14.1
# Set DNS server
Set-DnsClientServerAddress -InterfaceAlias ""Ethernet0"" -ServerAddresses ""192.168.14.1""
# Change gateway (remove old, add new)
Remove-NetRoute -InterfaceAlias ""Ethernet0"" -DestinationPrefix ""0.0.0.0/0"" -Confirm:$false
New-NetIPAddress -InterfaceAlias ""Ethernet0"" -IPAddress 192.168.14.4 -PrefixLength 24 -DefaultGateway 192.168.14.1
# Verify
ipconfig
Get-NetIPAddress -AddressFamily IPv4 | Select-Object InterfaceAlias, IPAddress","windows,server,win,microsoft,ad,domain,active directory,window,core,ip,address,subnet,cidr,host,network,dhcp,ipv4,configuration,configur,static,new-netipaddress,interfacealias,interfacealia,ethernet0,ipaddress,prefixlength,defaultgateway,dns,dn,set-dnsclientserveraddress,serveraddresses,serveraddress,change,chang,gateway,remove,delete,del,userdel,uninstall,erase,drop,remov,old,add,create,new,useradd,adduser,install,join,make,remove-netroute,remove-netrout,destinationprefix,confirm,false,fals,verify,verifi,ipconfig,config,get-netipaddress,-netipaddress,addressfamily,addressfamili,select-object,interfacealias ethernet0,ethernet0 ipaddress prefixlength,new-netipaddress interfacealias ethernet0,ethernet0 ipaddress,interfacealias ethernet0 ipaddress,ipaddress prefixlength defaultgateway,new-netipaddress interfacealias,prefixlength defaultgateway",0.6899
